epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,33135,1.20895,0.80859,0.87076,0.60832,0.64141,0.6584,0.41244,1.27571,0.93071,0.90142,0.005842,0.005842,0.005842
44,33890.5,1.20905,0.80772,0.87045,0.60896,0.64219,0.65957,0.41389,1.27454,0.92965,0.90114,0.005743,0.005743,0.005743
45,34637.9,1.20744,0.80689,0.86996,0.60939,0.64345,0.66084,0.4147,1.27444,0.92913,0.90103,0.005644,0.005644,0.005644
46,35377,1.20418,0.80422,0.87008,0.61036,0.64459,0.66204,0.4154,1.27481,0.92875,0.90097,0.005545,0.005545,0.005545
47,36137.8,1.20482,0.8048,0.86986,0.61208,0.64521,0.66357,0.4168,1.2741,0.92785,0.90082,0.005446,0.005446,0.005446
48,36902.2,1.20136,0.80362,0.8696,0.61369,0.64561,0.66503,0.418,1.273,0.92681,0.90053,0.005347,0.005347,0.005347
49,37618.8,1.20092,0.80263,0.86957,0.61433,0.64495,0.66504,0.41812,1.27278,0.92717,0.90039,0.005248,0.005248,0.005248
50,38327.6,1.20159,0.80238,0.86935,0.61518,0.64577,0.66623,0.41934,1.27164,0.9262,0.90019,0.005149,0.005149,0.005149
51,39038,1.19851,0.80048,0.86883,0.61702,0.64565,0.66734,0.42001,1.27074,0.92499,0.89987,0.00505,0.00505,0.00505
52,39749.9,1.1966,0.79901,0.86833,0.61757,0.6453,0.66768,0.42038,1.27003,0.92423,0.8996,0.004951,0.004951,0.004951
53,40460.1,1.19741,0.79926,0.86799,0.61864,0.64594,0.66888,0.42112,1.2698,0.923,0.89935,0.004852,0.004852,0.004852
54,41169.2,1.19291,0.79733,0.86817,0.61704,0.64667,0.66797,0.42083,1.26904,0.92322,0.89905,0.004753,0.004753,0.004753
55,41878.6,1.19126,0.79617,0.86826,0.61781,0.64695,0.66863,0.42188,1.267,0.92189,0.89863,0.004654,0.004654,0.004654
56,42589.7,1.18993,0.79381,0.86763,0.61864,0.64741,0.66932,0.42295,1.2657,0.92106,0.89842,0.004555,0.004555,0.004555
57,43300.8,1.18869,0.79353,0.86738,0.61875,0.64839,0.67002,0.42386,1.2648,0.92017,0.89823,0.004456,0.004456,0.004456
58,44009.8,1.18664,0.79166,0.86689,0.61732,0.64921,0.66974,0.42378,1.26423,0.92006,0.89801,0.004357,0.004357,0.004357
