epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4663.72,0.70073,0.59723,0.84086,0.7529,0.77143,0.83152,0.62409,0.92176,0.84807,0.9854,0.005842,0.005842,0.005842
44,4770.34,0.69519,0.5881,0.83981,0.73553,0.76588,0.81302,0.61495,0.9015,0.88944,0.97641,0.005743,0.005743,0.005743
45,4877.49,0.69153,0.58294,0.83886,0.73723,0.77043,0.81527,0.61607,0.90763,0.90181,0.97953,0.005644,0.005644,0.005644
46,4984.92,0.68469,0.57832,0.83794,0.74445,0.76483,0.82284,0.61562,0.92749,0.88354,0.99064,0.005545,0.005545,0.005545
47,5092.01,0.68277,0.57433,0.83756,0.73586,0.76407,0.8128,0.61364,0.9152,0.90623,0.9837,0.005446,0.005446,0.005446
48,5200.32,0.68069,0.56917,0.83692,0.74743,0.76442,0.81818,0.61969,0.8982,0.88695,0.97763,0.005347,0.005347,0.005347
49,5308.68,0.67605,0.56282,0.83575,0.73105,0.77366,0.80906,0.61196,0.90261,0.91314,0.97903,0.005248,0.005248,0.005248
50,5417.01,0.67246,0.55797,0.83559,0.74755,0.77741,0.82633,0.61851,0.92269,0.8616,0.99004,0.005149,0.005149,0.005149
51,5525.1,0.66803,0.55126,0.83337,0.75038,0.76737,0.81947,0.60883,0.94504,0.89416,1.00264,0.00505,0.00505,0.00505
52,5631.91,0.66372,0.54828,0.83334,0.75492,0.76951,0.82735,0.61264,0.95486,0.87624,1.00565,0.004951,0.004951,0.004951
53,5739.59,0.65912,0.54242,0.83241,0.74801,0.77716,0.82372,0.6137,0.94689,0.88367,1.00042,0.004852,0.004852,0.004852
54,5847.59,0.65552,0.53649,0.83204,0.73927,0.77239,0.81264,0.60206,0.95833,0.90944,1.00669,0.004753,0.004753,0.004753
55,5955.79,0.6529,0.5326,0.83069,0.74771,0.7712,0.81395,0.60163,0.96197,0.89667,1.00645,0.004654,0.004654,0.004654
56,6063.96,0.64715,0.52562,0.82963,0.74232,0.77649,0.81362,0.60436,0.95089,0.8933,1.003,0.004555,0.004555,0.004555
57,6172.45,0.64561,0.52405,0.82903,0.74206,0.77693,0.81499,0.60662,0.94332,0.88831,1.00018,0.004456,0.004456,0.004456
58,6279.94,0.64231,0.52059,0.82902,0.74634,0.77644,0.81586,0.60641,0.94134,0.88708,1.00021,0.004357,0.004357,0.004357
59,6386.49,0.63845,0.51523,0.82844,0.74748,0.77499,0.81625,0.60718,0.94075,0.88842,0.99976,0.004258,0.004258,0.004258
60,6494.39,0.6346,0.51123,0.82771,0.74739,0.77233,0.81423,0.60657,0.94308,0.89213,1.00148,0.004159,0.004159,0.004159
61,6602.35,0.63178,0.50696,0.82629,0.75769,0.76374,0.8147,0.60739,0.94331,0.89131,1.00305,0.00406,0.00406,0.00406
62,6710.65,0.62917,0.50402,0.82581,0.73996,0.77759,0.81016,0.60269,0.94926,0.90706,1.00635,0.003961,0.003961,0.003961
63,6818.9,0.62557,0.49951,0.82507,0.73974,0.7756,0.8113,0.60478,0.9461,0.9045,1.00374,0.003862,0.003862,0.003862
64,6927.37,0.62197,0.49646,0.8239,0.7386,0.77459,0.80759,0.60077,0.95021,0.91388,1.0056,0.003763,0.003763,0.003763
